20 0.0151972 0.0251175 0.0330231
40 0.0022653 0.00649698 0.00146582
80 0.0225258 0.0167116 0.00434747
160 0.0147851 0.00983325 0.000126896
320 0.00827305 0.00835386 0.000235058
640 0.00685571 0.00443366 4.28844e-05
1280 0.00216572 0.00497723 0.00035209
2560 0.00231821 0.00170411 0.000125587
5120 0.00419695 0.00161299 0.000117103
10240 0.00210187 0.00184472 3.58779e-07
20480 0.000951715 0.00148067 9.96231e-06
40960 0.000896394 0.000694124 1.36364e-05
81920 0.000505816 0.000696076 6.86556e-06
163840 0.000578658 0.000266953 6.28512e-07
327680 7.97392e-05 0.000141468 1.34398e-06
655360 5.72367e-05 6.38565e-05 2.64873e-07
1310720 0.000116056 6.75683e-05 1.90464e-07
2621440 4.52871e-05 7.45651e-05 8.43125e-08
5242880 4.07098e-05 3.54034e-05 6.33939e-08
