20 0.357771 0.0584073
40 0.264102 0.0415927
80 0.186748 0.0415927
160 0.129361 0.00840735
320 0.0889144 0.0709073
640 0.0639748 0.0334073
1280 0.0459797 0.00409265
2560 0.0325552 0.00721765
5120 0.0231909 0.0251864
10240 0.0163829 0.0228427
20480 0.0114503 0.00508703
40960 0.00810637 0.002255
81920 0.00573516 0.000985471
163840 0.00405969 0.00152918
327680 0.00287285 0.00336023
655360 0.00202998 0.00169397
1310720 0.00143501 0.00102564
2621440 0.00101468 0.000966128
5242880 0.000717388 0.000638827
