0.2 0.324722 0.327492 0.115537 0.115167 0.0629761 0.0626267
0.4 0.532417 0.536256 0.186011 0.185258 0.101041 0.100408
0.6 0.654716 0.658574 0.221139 0.220012 0.119347 0.118489
0.8 0.715651 0.718926 0.228987 0.227514 0.122269 0.121242
1 0.733367 0.735759 0.216221 0.214441 0.113508 0.11236
1.2 0.721461 0.722866 0.188314 0.186273 0.0961693 0.0949463
1.4 0.690033 0.690471 0.149731 0.147478 0.0728465 0.0715876
1.6 0.646504 0.646069 0.104086 0.101672 0.0456845 0.0444241
1.8 0.596258 0.595076 0.0542748 0.0517479 0.0164411 0.0152091
2 0.543127 0.541341 0.00259268 0 -0.01346 -0.0146381
2.2 0.489783 0.487534 -0.0491673 -0.0517826 -0.0428825 -0.0439853
2.4 0.438029 0.435446 -0.0996299 -0.102229 -0.070936 -0.0719459
2.6 0.389023 0.386223 -0.147765 -0.150313 -0.0969399 -0.0978428
2.8 0.343455 0.340536 -0.192828 -0.195295 -0.120391 -0.121176
3 0.301677 0.298722 -0.234305 -0.236665 -0.140938 -0.141597
3.2 0.263804 0.260878 -0.271871 -0.274104 -0.158351 -0.158879
3.4 0.229784 0.226938 -0.305352 -0.307441 -0.172509 -0.172903
3.6 0.199459 0.196731 -0.334694 -0.336626 -0.183373 -0.183633
3.8 0.172602 0.170018 -0.359937 -0.361703 -0.190977 -0.191102
4 0.148947 0.146525 -0.381193 -0.382786 -0.195408 -0.195402
4.2 0.128213 0.125963 -0.398628 -0.400045 -0.196798 -0.196664
4.4 0.110114 0.108041 -0.412446 -0.413686 -0.195314 -0.195057
4.6 0.0943755 0.0924769 -0.422879 -0.423944 -0.191145 -0.190772
4.8 0.0807333 0.0790056 -0.430176 -0.43107 -0.1845 -0.184017
5 0.0689432 0.0673795 -0.434595 -0.435321 -0.1756 -0.175014
5.2 0.0587807 0.0573723 -0.436395 -0.436961 -0.16467 -0.163989
5.4 0.050042 0.0487791 -0.435835 -0.436247 -0.151937 -0.15117
5.6 0.0425441 0.0414161 -0.433165 -0.433432 -0.137628 -0.136782
5.8 0.0361234 0.0351196 -0.428628 -0.428758 -0.121964 -0.121048
6 0.0306353 0.029745 -0.422454 -0.422457 -0.105159 -0.104181
6.2 0.0259521 0.0251649 -0.414862 -0.414747 -0.0874183 -0.0863876
6.4 0.021962 0.0212679 -0.406055 -0.405831 -0.0689381 -0.0678624
6.6 0.0185671 0.0179569 -0.396223 -0.3959 -0.0499022 -0.0487895
6.8 0.0156827 0.0151473 -0.385541 -0.385127 -0.0304829 -0.029341
7 0.0132349 0.0127663 -0.374168 -0.373674 -0.0108404 -0.00967673
7.2 0.01116 0.0107508 -0.362252 -0.361685 0.00887793 0.0100562
7.4 0.00940314 0.00904654 -0.349924 -0.349294 0.028537 0.0297231
7.6 0.00791707 0.00760686 -0.337304 -0.336618 0.0480143 0.0492018
7.8 0.00666125 0.00639187 -0.324498 -0.323764 0.0671992 0.0683823
8 0.00560094 0.0053674 -0.3116 -0.310827 0.0859933 0.0871663
8.2 0.00470646 0.00450432 -0.298695 -0.297888 0.104309 0.105467
8.4 0.00395248 0.00377777 -0.285855 -0.285021 0.122071 0.123208
8.6 0.00331741 0.00316662 -0.273144 -0.27229 0.139211 0.140324
8.8 0.00278287 0.0026529 -0.260617 -0.259747 0.155675 0.15676
9 0.00233326 0.00222138 -0.248321 -0.24744 0.171415 0.172467
9.2 0.00195532 0.00185912 -0.236294 -0.235408 0.186391 0.187409
9.4 0.00163783 0.00155521 -0.22457 -0.223682 0.200575 0.201555
9.6 0.00137127 0.00130039 -0.213174 -0.212288 0.213942 0.214882
9.8 0.00114759 0.00108685 -0.202128 -0.201249 0.226476 0.227373
10 0.000959999 0.000907999 -0.191449 -0.190578 0.238166 0.23902
10.2 0.000802751 0.000758275 -0.181148 -0.180288 0.249009 0.249817
10.4 0.000671002 0.000632996 -0.171233 -0.170387 0.259004 0.259765
10.6 0.000560669 0.000528219 -0.161709 -0.160879 0.268156 0.26887
10.8 0.000468311 0.000440629 -0.152577 -0.151765 0.276475 0.277141
11 0.000391033 0.000367437 -0.143837 -0.143044 0.283974 0.284592
11.2 0.000326399 0.000306302 -0.135486 -0.134714 0.290668 0.291237
11.4 0.000272361 0.000255257 -0.127519 -0.126768 0.296576 0.297097
11.6 0.0002272 0.000212653 -0.119929 -0.1192 0.30172 0.302193
11.8 0.000189471 0.000177108 -0.112708 -0.112002 0.306122 0.306547
12 0.000157962 0.000147461 -0.105847 -0.105165 0.309807 0.310186
12.2 0.000131656 0.000122743 -0.0993365 -0.0986776 0.312803 0.313136
12.4 0.000109701 0.000102141 -0.0931654 -0.0925304 0.315136 0.315424
12.6 9.13842e-05 8.49748e-05 -0.0873226 -0.0867114 0.316835 0.31708
12.8 7.61063e-05 7.06758e-05 -0.0817964 -0.081209 0.317929 0.318131
13 6.33671e-05 5.87686e-05 -0.0765749 -0.0760111 0.318448 0.318608
13.2 5.27478e-05 4.88559e-05 -0.071646 -0.0711055 0.31842 0.31854
13.4 4.3898e-05 4.06059e-05 -0.0669976 -0.0664801 0.317876 0.317957
13.6 3.65249e-05 3.37415e-05 -0.0626175 -0.0621226 0.316846 0.31689
13.8 3.03836e-05 2.80314e-05 -0.0584936 -0.0580209 0.315358 0.315366
14 2.52696e-05 2.32828e-05 -0.0546142 -0.054163 0.313442 0.313416
14.2 2.10121e-05 1.93347e-05 -0.0509675 -0.0505373 0.311127 0.311068
14.4 1.74684e-05 1.60528e-05 -0.047542 -0.0471323 0.30844 0.30835
14.6 1.45196e-05 1.33255e-05 -0.0443266 -0.0439368 0.305409 0.305289
14.8 1.20662e-05 1.10594e-05 -0.0413105 -0.04094 0.30206 0.301912
15 1.00256e-05 9.17707e-06 -0.0384832 -0.0381312 0.298419 0.298245
15.2 8.32864e-06 7.61373e-06 -0.0358346 -0.0355005 0.294512 0.294313
15.4 6.91769e-06 6.31562e-06 -0.0333548 -0.0330379 0.290362 0.29014
15.6 5.7448e-06 5.23794e-06 -0.0310344 -0.0307342 0.285993 0.285749
15.8 4.76999e-06 4.34344e-06 -0.0288644 -0.0285802 0.281426 0.281162
16 3.95995e-06 3.60113e-06 -0.0268363 -0.0265673 0.276684 0.276402
16.2 3.28697e-06 2.98521e-06 -0.0249416 -0.0246873 0.271787 0.271488
16.4 2.72793e-06 2.47425e-06 -0.0231726 -0.0229322 0.266755 0.266439
16.6 2.26364e-06 2.05045e-06 -0.0215216 -0.0212947 0.261605 0.261275
16.8 1.8781e-06 1.69899e-06 -0.0199817 -0.0197675 0.256356 0.256013
17 1.55801e-06 1.40758e-06 -0.0185459 -0.0183439 0.251024 0.25067
17.2 1.29229e-06 1.16599e-06 -0.0172078 -0.0170175 0.245626 0.245261
17.4 1.07174e-06 9.65729e-07 -0.0159614 -0.015782 0.240175 0.239801
17.6 8.88715e-07 7.9976e-07 -0.0148008 -0.0146319 0.234687 0.234305
17.8 7.36852e-07 6.62229e-07 -0.0137205 -0.0135616 0.229173 0.228785
18 6.10861e-07 5.48279e-07 -0.0127154 -0.012566 0.223647 0.223253
18.2 5.06351e-07 4.53881e-07 -0.0117807 -0.0116402 0.21812 0.217721
18.4 4.1967e-07 3.7569e-07 -0.0109117 -0.0107797 0.212602 0.2122
18.6 3.47787e-07 3.10932e-07 -0.0101041 -0.00998016 0.207104 0.206699
18.8 2.88183e-07 2.57307e-07 -0.00935382 -0.00923749 0.201634 0.201228
19 2.38767e-07 2.12906e-07 -0.00865706 -0.00854791 0.196202 0.195795
19.2 1.97802e-07 1.76148e-07 -0.00801019 -0.00790784 0.190814 0.190407
19.4 1.63848e-07 1.4572e-07 -0.00740986 -0.00731391 0.185479 0.185072
19.6 1.35708e-07 1.20535e-07 -0.00685288 -0.00676298 0.180202 0.179797
19.8 1.12389e-07 9.96929e-08 -0.00633629 -0.00625208 0.17499 0.174587
20 9.3068e-08 8.24461e-08 -0.0058573 -0.00577847 0.169847 0.169447
20.2 7.70605e-08 6.81762e-08 -0.00541331 -0.00533954 0.164779 0.164383
20.4 6.38e-08 5.63706e-08 -0.00500188 -0.00493287 0.15979 0.159398
20.6 5.28162e-08 4.66048e-08 -0.00462073 -0.00455619 0.154884 0.154497
20.8 4.37193e-08 3.85273e-08 -0.00426773 -0.0042074 0.150063 0.149682
21 3.61858e-08 3.18468e-08 -0.00394088 -0.00388451 0.145332 0.144956
21.2 2.99478e-08 2.63222e-08 -0.00363834 -0.00358567 0.140693 0.140323
21.4 2.4783e-08 2.17541e-08 -0.00335835 -0.00330917 0.136147 0.135784
21.6 2.0507e-08 1.79772e-08 -0.00309931 -0.00305341 0.131696 0.13134
21.8 1.69674e-08 1.48548e-08 -0.00285971 -0.00281687 0.127342 0.126994
22 1.40375e-08 1.22737e-08 -0.00263814 -0.00259817 0.123087 0.122746
22.2 1.16126e-08 1.01402e-08 -0.00243329 -0.00239602 0.11893 0.118597
22.4 9.60574e-09 8.37687e-09 -0.00224395 -0.0022092 0.114873 0.114548
22.6 7.94512e-09 6.91963e-09 -0.00206897 -0.00203659 0.110915 0.1106
22.8 6.57106e-09 5.71545e-09 -0.00190731 -0.00187714 0.107057 0.106751
23 5.43421e-09 4.72046e-09 -0.00175799 -0.00172988 0.103299 0.103002
23.2 4.49371e-09 3.8984e-09 -0.00162008 -0.00159391 0.09964 0.099352
23.4 3.71571e-09 3.21925e-09 -0.00149275 -0.00146838 0.0960798 0.0958014
