100 0.00
120 0.00
140 0.01
160 0.01
180 0.02
200 0.02
220 0.03
240 0.04
260 0.06
280 0.07
300 0.08
320 0.10
340 0.12
360 0.14
380 0.17
400 0.20
420 0.22
440 0.26
460 0.29
480 0.33
500 0.39
