# Rosenbrock optimization failure log
# Init_X      Init_Y      Final_X     Final_Y     Solver_Type
-6.060606e-02 2.313131e+00 -2.419103e+160 4.510007e+03 Standard
-2.020202e-02 2.111111e+00 -1.421451e+159 4.178273e+03 Standard
2.020202e-02 2.515152e+00 1.384725e+88 1.592700e+06 Standard
2.020202e-02 2.555556e+00 1.414974e+78 2.895175e+05 Standard
2.020202e-02 2.595960e+00 -7.518024e+209 7.456658e+04 Standard
2.020202e-02 2.636364e+00 -1.439611e+192 2.725419e+04 Standard
2.020202e-02 2.676768e+00 -1.273321e+181 1.455277e+04 Standard
2.020202e-02 2.717172e+00 -2.430395e+177 1.178406e+04 Standard
2.020202e-02 2.757576e+00 -2.295266e+181 1.476556e+04 Standard
2.020202e-02 2.797980e+00 -6.543302e+192 2.829403e+04 Standard
2.020202e-02 2.838384e+00 -1.265977e+211 7.996519e+04 Standard
2.020202e-02 2.878788e+00 5.587212e+78 3.204936e+05 Standard
2.020202e-02 2.919192e+00 6.452594e+88 1.781685e+06 Standard
2.020202e-02 2.959596e+00 6.701621e+100 1.376172e+07 Standard
2.020202e-02 3.000000e+00 1.058918e+115 1.480410e+08 Standard
6.060606e-02 8.585859e-01 -1.549326e+101 1.472608e+07 Standard
6.060606e-02 8.989899e-01 -5.285221e+111 8.999158e+07 Standard
6.060606e-02 1.787879e+00 6.343176e+103 2.310022e+07 Standard
6.060606e-02 1.989899e+00 -1.215823e+80 4.025819e+05 Standard
6.060606e-02 2.070707e+00 -9.647973e+79 3.956686e+05 Standard
1.010101e-01 1.868687e+00 1.593282e+80 4.111827e+05 Standard
1.010101e-01 2.353535e+00 1.343993e+182 1.541695e+04 Standard
1.010101e-01 2.717172e+00 1.147937e+77 2.403594e+05 Standard
1.414141e-01 -5.959596e-01 -2.943017e+211 8.149842e+04 Symmetrized
1.818182e-01 -6.363636e-01 2.888834e+108 5.158464e+07 Standard
5.050505e-01 -7.979798e-01 -1.189881e+112 9.222428e+07 Standard
8.282828e-01 4.949495e-01 -2.220308e+119 3.266579e+08 Symmetrized
