0 1 0
0.05 0.995422 -0.00332782
0.1 0.988907 -0.0060969
0.15 0.980454 -0.0083166
0.2 0.970064 -0.0100025
0.25 0.957736 -0.0111764
0.3 0.94347 -0.011866
0.35 0.927267 -0.0121055
0.4 0.909126 -0.0119346
0.45 0.889048 -0.0113992
0.5 0.867032 -0.0105508
0.55 0.843078 -0.00944641
0.6 0.817187 -0.00814881
0.65 0.789358 -0.00672591
0.7 0.759591 -0.00525083
0.75 0.727887 -0.00380165
0.8 0.694245 -0.00246125
0.85 0.658666 -0.00131705
0.9 0.621149 -0.000460858
0.95 0.581695 1.14249e-05
1 0.540302 0
1.05 0.497668 9.71708e-05
1.1 0.454488 0.000891866
1.15 0.410762 0.00227417
1.2 0.366489 0.00413134
1.25 0.32167 0.00634807
1.3 0.276306 0.00880679
1.35 0.230395 0.011388
1.4 0.183938 0.0139704
1.45 0.136934 0.0164316
1.5 0.0893849 0.0186477
1.55 0.0412894 0.0204946
1.6 -0.00735226 0.0218473
1.65 -0.0565401 0.0225808
1.7 -0.106274 0.0225705
1.75 -0.156554 0.0216919
1.8 -0.20738 0.0198217
1.85 -0.258753 0.0168375
1.9 -0.310671 0.0126182
1.95 -0.363136 0.00704482
2 -0.416147 -1.66533e-16
2.05 -0.468201 -0.00712846
2.1 -0.517796 -0.0129502
2.15 -0.564932 -0.0175746
2.2 -0.609609 -0.021108
2.25 -0.651827 -0.0236532
2.3 -0.691585 -0.0253093
2.35 -0.728885 -0.0261716
2.4 -0.763725 -0.0263311
2.45 -0.796106 -0.0258746
2.5 -0.826028 -0.0248841
2.55 -0.85349 -0.0234369
2.6 -0.878494 -0.0216052
2.65 -0.901038 -0.0194562
2.7 -0.921124 -0.0170514
2.75 -0.93875 -0.0144473
2.8 -0.953917 -0.0116942
2.85 -0.966624 -0.00883703
2.9 -0.976873 -0.00591467
2.95 -0.984662 -0.00296005
3 -0.989992 -1.11022e-16
3.05 -0.993047 0.00276107
3.1 -0.99401 0.00512494
3.15 -0.992881 0.00708331
3.2 -0.989661 0.0086341
3.25 -0.984348 0.00978148
3.3 -0.976944 0.0105359
3.35 -0.967448 0.0109139
3.4 -0.95586 0.0109383
3.45 -0.94218 0.0106381
3.5 -0.926409 0.0100481
3.55 -0.908545 0.00920924
3.6 -0.88859 0.00816831
3.65 -0.866543 0.00697777
3.7 -0.842404 0.00569568
3.75 -0.816174 0.0043856
3.8 -0.787851 0.00311636
3.85 -0.757437 0.00196192
3.9 -0.724931 0.0010012
3.95 -0.690333 0.000317827
4 -0.653644 -1.11022e-16
4.05 -0.615452 -0.000449203
4.1 -0.576347 -0.00152262
4.15 -0.536329 -0.00311982
4.2 -0.495398 -0.00513679
4.25 -0.453554 -0.00746619
4.3 -0.410797 -0.0099976
4.35 -0.367127 -0.0126178
4.4 -0.322544 -0.0152112
4.45 -0.277048 -0.0176597
4.5 -0.230639 -0.0198436
4.55 -0.183318 -0.0216414
4.6 -0.135083 -0.0229303
4.65 -0.0859351 -0.0235866
4.7 -0.0358744 -0.0234858
4.75 0.0150992 -0.0225029
4.8 0.0669859 -0.0205131
4.85 0.119785 -0.0173916
4.9 0.173498 -0.0130143
4.95 0.228124 -0.0072578
5 0.283662 -1.4988e-15
5.05 0.338549 0.00731481
5.1 0.391218 0.0132406
5.15 0.441671 0.0178941
5.2 0.489907 0.0213899
5.25 0.535925 0.0238398
5.3 0.579727 0.0253527
5.35 0.621312 0.0260342
