# X   ANN_y   Exact_y   ANN_dy   Exact_dy   ANN_d2y   Exact_d2y   ANN_Integral   Exact_Integral
-0.598662 -0.460264 -0.460291 -3.17966 -3.18003 5.46642 5.47265 0.030656 0.0306547
-0.591973 -0.481404 -0.481434 -3.14054 -3.14088 6.22981 6.2363 0.0275065 0.027505
-0.585284 -0.502266 -0.502298 -3.09632 -3.0966 6.99405 7.00073 0.0242165 0.0242147
-0.578595 -0.522815 -0.522849 -3.04698 -3.04722 7.7578 7.76462 0.0207879 0.020786
-0.571906 -0.543017 -0.543052 -2.99254 -2.99273 8.51972 8.52663 0.0172231 0.0172209
-0.565217 -0.562838 -0.562874 -2.93301 -2.93316 9.27845 9.28539 0.0135243 0.0135219
-0.558528 -0.582243 -0.58228 -2.86842 -2.86853 10.0326 10.0395 0.00969438 0.00969171
-0.551839 -0.6012 -0.601237 -2.79881 -2.79887 10.7808 10.7877 0.00573611 0.0057332
-0.545151 -0.619675 -0.619712 -2.72421 -2.72422 11.5217 11.5285 0.00165264 0.00164948
-0.538462 -0.637634 -0.637671 -2.64469 -2.64466 12.2539 12.2605 -0.0025527 -0.00255612
-0.531773 -0.655044 -0.655081 -2.5603 -2.56023 12.9759 12.9823 -0.00687635 -0.00688002
-0.525084 -0.671874 -0.671911 -2.47113 -2.47101 13.6865 13.6927 -0.0113145 -0.0113184
-0.518395 -0.688092 -0.688128 -2.37724 -2.37708 14.3842 14.3901 -0.0158633 -0.0158674
-0.511706 -0.703667 -0.703701 -2.27873 -2.27853 15.0676 15.0732 -0.0205184 -0.0205227
-0.505017 -0.718567 -0.7186 -2.1757 -2.17546 15.7354 15.7407 -0.0252754 -0.02528
-0.498328 -0.732763 -0.732794 -2.06826 -2.06799 16.3863 16.3912 -0.0301297 -0.0301345
-0.491639 -0.746226 -0.746255 -1.95652 -1.95622 17.0188 17.0234 -0.0350766 -0.0350816
-0.48495 -0.758928 -0.758955 -1.84062 -1.8403 17.6318 17.6359 -0.040111 -0.0401162
-0.478261 -0.770841 -0.770866 -1.72069 -1.72034 18.2239 18.2276 -0.0452277 -0.0452331
-0.471572 -0.781939 -0.781961 -1.59688 -1.5965 18.7938 18.7971 -0.0504214 -0.050427
-0.464883 -0.792196 -0.792215 -1.46932 -1.46892 19.3403 19.3431 -0.0556866 -0.0556922
-0.458194 -0.801587 -0.801604 -1.3382 -1.33778 19.8622 19.8646 -0.0610174 -0.0610232
-0.451505 -0.81009 -0.810104 -1.20367 -1.20323 20.3584 20.3603 -0.0664081 -0.0664141
-0.444816 -0.817683 -0.817694 -1.0659 -1.06546 20.8277 20.8292 -0.0718527 -0.0718587
-0.438127 -0.824343 -0.824351 -0.925097 -0.924646 21.269 21.27 -0.077345 -0.077351
-0.431438 -0.830052 -0.830057 -0.781435 -0.780978 21.6813 21.6818 -0.0828786 -0.0828847
-0.424749 -0.834791 -0.834793 -0.635114 -0.634656 22.0635 22.0636 -0.0884472 -0.0884533
-0.41806 -0.838543 -0.838542 -0.486339 -0.485882 22.4148 22.4144 -0.0940442 -0.0940503
-0.411371 -0.841292 -0.841288 -0.335322 -0.334869 22.7341 22.7332 -0.0996629 -0.099669
-0.404682 -0.843025 -0.843018 -0.182277 -0.181832 23.0207 23.0194 -0.105297 -0.105303
-0.397993 -0.843727 -0.843717 -0.0274273 -0.0269924 23.2737 23.272 -0.110939 -0.110945
-0.391304 -0.843388 -0.843375 0.129001 0.129422 23.4925 23.4903 -0.116582 -0.116588
-0.384615 -0.841998 -0.841983 0.286775 0.28718 23.6762 23.6736 -0.122219 -0.122225
-0.377926 -0.839549 -0.839531 0.445659 0.446046 23.8243 23.8213 -0.127843 -0.127849
-0.371237 -0.836034 -0.836013 0.605414 0.605779 23.9362 23.9328 -0.133448 -0.133454
-0.364548 -0.831448 -0.831425 0.765794 0.766135 24.0114 24.0076 -0.139025 -0.139031
-0.35786 -0.825789 -0.825763 0.926553 0.926868 24.0494 24.0454 -0.144569 -0.144574
-0.351171 -0.819053 -0.819026 1.08744 1.08773 24.05 24.0456 -0.15007 -0.150076
-0.344482 -0.811241 -0.811212 1.24821 1.24846 24.0128 24.0081 -0.155524 -0.155528
-0.337793 -0.802355 -0.802324 1.4086 1.40882 23.9374 23.9325 -0.160921 -0.160925
-0.331104 -0.792398 -0.792366 1.56836 1.56855 23.8239 23.8188 -0.166255 -0.16626
-0.324415 -0.781376 -0.781343 1.72723 1.72738 23.6721 23.6667 -0.171519 -0.171523
-0.317726 -0.769294 -0.76926 1.88495 1.88507 23.4819 23.4764 -0.176706 -0.17671
-0.311037 -0.756162 -0.756127 2.04128 2.04136 23.2534 23.2478 -0.181808 -0.181812
-0.304348 -0.74199 -0.741955 2.19595 2.196 22.9868 22.9811 -0.186819 -0.186823
-0.297659 -0.726789 -0.726754 2.34871 2.34872 22.6822 22.6764 -0.191732 -0.191736
-0.29097 -0.710574 -0.710538 2.49931 2.49927 22.3398 22.334 -0.19654 -0.196543
-0.284281 -0.693359 -0.693324 2.64749 2.64742 21.9601 21.9543 -0.201236 -0.201239
-0.277592 -0.675162 -0.675127 2.79301 2.7929 21.5434 21.5377 -0.205814 -0.205816
-0.270903 -0.656001 -0.655967 2.93561 2.93546 21.0902 21.0846 -0.210266 -0.210269
-0.264214 -0.635896 -0.635864 3.07507 3.07488 20.6011 20.5956 -0.214587 -0.21459
-0.257525 -0.61487 -0.614839 3.21114 3.21091 20.0767 20.0713 -0.218771 -0.218773
-0.250836 -0.592946 -0.592917 3.34358 3.34332 19.5176 19.5125 -0.222811 -0.222813
-0.244147 -0.570149 -0.570121 3.47217 3.47187 18.9247 18.9198 -0.226701 -0.226703
-0.237458 -0.546505 -0.546479 3.59668 3.59635 18.2988 18.2941 -0.230437 -0.230438
-0.230769 -0.522042 -0.522019 3.71689 3.71654 17.6407 17.6364 -0.234011 -0.234012
-0.22408 -0.49679 -0.49677 3.8326 3.83222 16.9514 16.9475 -0.237419 -0.23742
-0.217391 -0.47078 -0.470762 3.9436 3.94319 16.232 16.2284 -0.240655 -0.240656
-0.210702 -0.444044 -0.444029 4.04969 4.04926 15.4836 15.4804 -0.243715 -0.243716
-0.204013 -0.416615 -0.416603 4.15068 4.15023 14.7072 14.7044 -0.246594 -0.246595
-0.197324 -0.388529 -0.388519 4.24638 4.24592 13.9041 13.9018 -0.249287 -0.249288
-0.190635 -0.35982 -0.359814 4.33663 4.33615 13.0755 13.0738 -0.25179 -0.251791
-0.183946 -0.330526 -0.330523 4.42125 4.42076 12.2228 12.2216 -0.254099 -0.2541
-0.177258 -0.300685 -0.300686 4.50009 4.4996 11.3474 11.3467 -0.256211 -0.256211
-0.170569 -0.270337 -0.270341 4.57301 4.57251 10.4505 10.4504 -0.258121 -0.258122
-0.16388 -0.239522 -0.239529 4.63986 4.63936 9.53381 9.53419 -0.259826 -0.259827
-0.157191 -0.208279 -0.20829 4.70051 4.70002 8.59866 8.59961 -0.261324 -0.261325
-0.150502 -0.176653 -0.176666 4.75485 4.75436 7.64664 7.64816 -0.262612 -0.262613
-0.143813 -0.144684 -0.144701 4.80277 4.8023 6.67933 6.68142 -0.263687 -0.263688
-0.137124 -0.112416 -0.112436 4.84418 4.84372 5.69834 5.70099 -0.264547 -0.264548
-0.130435 -0.0798934 -0.0799165 4.87898 4.87854 4.70531 4.70851 -0.26519 -0.265191
-0.123746 -0.0471603 -0.0471863 4.9071 4.90668 3.70191 3.70565 -0.265615 -0.265616
-0.117057 -0.0142617 -0.0142903 4.92848 4.92809 2.68983 2.69409 -0.265821 -0.265822
-0.110368 0.0187574 0.0187262 4.94307 4.94271 1.67079 1.67555 -0.265806 -0.265807
-0.103679 0.0518511 0.0518177 4.95082 4.9505 0.646512 0.651743 -0.265569 -0.265571
-0.09699 0.0849738 0.0849383 4.95171 4.95142 -0.381249 -0.375577 -0.265112 -0.265114
